Disease	genes
 Ivemark syndrome	NF1
"\Bulls eye\"" maculopathy"""	BEST1
17 beta-hydroxysteroid dehydrogenase 3 deficiency	HSD17B3
"17-alpha-hydroxylase/17,20-lyase deficiency"	CYP17A1
"17,20-lyase deficiency"	CYP17A1
"17,20-lyase deficiency, isolated"	CYB5A
17q21.31 microdeletion syndrome	KANSL1
2-aminoadipic & 2-oxoadipic aciduria	DHTKD1
2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency	HSD17B10
2-Methylbutyryl-CoA dehydrogenase deficiency	ACADSB
21-hydroxylase deficiency	CYP21A2
"21-hydroxylase deficiency, intermediate form"	CYP21A2
"21-hydroxylase deficiency, non-classical"	CYP21A2
"21-hydroxylase deficiency, simple virilizing form"	CYP21A2
"21-hydroxylase deficiency, with salt wasting"	CYP21A2
"21-hydroxylase deficiency, without salt wasting"	CYP21A2
22q11.2 deletion syndrome	CHD7
22q11.2 deletion syndrome features	TBX1
25-hydroxyvitamin D deficiency	CYP2R1
3 beta-hydroxysteroid dehydrogenase deficiency	"c(\HSD3B2\"", \""HSD3B7\"")"""
3 beta-hydroxysteroid oxidoreductase deficiency	HSD3B7
3-hydroxy-3-methylglutaric aciduria	HMGCL
3-hydroxyisobutyric aciduria	ALDH6A1
3-ketothiolase deficiency	ACAT1
3-M syndrome	"c(\CUL7\"", \""OBSL1\"")"""
3-methylcrotonyl-CoA carboxylase deficiency	"c(\MCCC1\"", \""MCCC2\"")"""
3-methylcrotonylglycinuria	"c(\MCCC1\"", \""MCCC2\"")"""
3-methylglutaconic aciduria & Leigh syndrome	SERAC1
3-methylglutaconic aciduria type 1	AUH
3-Methylglutaconic aciduria type 1	AUH
3-methylglutaconic aciduria type 4	TMEM70
"3-methylglutaconic aciduria, impaired OXPHOS, deafness, encephalopathy, dystonia & Leigh-like syndrome"	SERAC1
"3-methylglutaconicaciduria, type III"	OPA3
3-oxo-Delta(4)-steroid 5beta-reductase deficiency	AKR1D1
3-oxoacid CoA transferase deficiency	OXCT1
3-phosphoglycerate dehydrogenase deficiency	PHGDH
3-phosphoserine phosphatase deficiency	PSPH
3MC syndrome	"c(\COLEC11\"", \""MASP1\"")"""
"46,XY complete androgen insensitivity"	AR
"46,XY disorder of sex development"	"c(\CYB5A\"", \""GATA4\"", \""HHAT\"", \""MAMLD1\"", \""NR5A1\"", \""SRD5A2\"", \""SRY\"", \""ZFPM2\"")"""
"46,XY disorder of sex development with bilateral gonadoblastoma"	SRY
"46,XY gonadal dysgenesis"	SRY
"46,XY sex reversal & asplenia"	NR5A1
5-oxoprolinase deficiency	OPLAH
6-pyruvoyl-tetrahydropterin synthase deficiency	PTS
8q24.3 deletion syndrome	PUF60
9q subtelomeric deletion syndrome	EHMT1
Aarskog-Scott syndrome	FGD1
ABCA3 deficiency	ABCA3
ABCD syndrome	EDNRB
"Abdominal adiposity in obese men, association with"	CNR1
Abdominal aortic aneurysm	ABCC6
"Abdominal aortic aneurysm, female, association"	TIMP1
"Abdominal aortic aneurysm, male, association"	TIMP2
"Abdominal aortic aneurysm, reduced risk"	SERPINF2
Abetalipoproteinaemia	MTTP
Abnormal cellular localization	DCTN1
Abnormal glycosylation	SHBG
Abnormal intracellular accumulation	ABCC3
Abnormal thyroid hormone metabolism	SECISBP2
Abolished ion transport activity	SLC26A4
Abolition of tyrosine sulphation	PRSS2
Abrogated kinase activity	PRKACA
Abrogated signalling activity	BST2
"Absence epilepsy, early-onset"	SLC2A1
Absence of collagen-induced platelet activation	GP6
Absent enzyme activity	CASP1
"Absorptive hypercalciuria, association with"	ADCY10
Acampomelic campomelic dysplasia	SOX9
Acanthocytosis	SLC4A1
Acanthosis nigricans	FGFR3
Acatalasaemia	CAT
"ACC, infantile spasms & abnormal genitalia"	ARX
"ACC, mental retardation, epilepsy & dyskinetic quadriparesis"	ARX
"Accelerated colonic transit in irritable bowel syndrome, association"	KLB
Accessory atrioventricular connection	NKX2-5
ACD/MPV with cardiovascular malformations	FOXF1
Aceruloplasminaemia	CP
Aceruloplasminaemia with diabetes	CP
Acetaldehyde dehydrogenase deficiency	ALDH2
Acetoacetyl-CoA-thiolase deficiency	ACAT1
Acetylcholine receptor deficiency	RAPSN
Achalasia & moyamoya	GUCY1A3
"Achalasia, association with"	"c(\HLA-DQA1\"", \""HLA-DQB1\"")"""
Achondrogenesis 1B	SLC26A2
Achondrogenesis 2	COL2A1
Achondrogenesis II-hypochondrogenesis	COL2A1
Achondrogenesis type 1A	TRIP11
Achondroplasia	FGFR3
